Timestamp,Experiment,IS,FID,CLIP,HPSv2,LPIPS,SSIM
26-04-2024--10-06-35,bg_ours_bikes,1.0,-1,34.05414581298828,0.2980224609375,0.4784088164567947,0.0334884557785699
26-04-2024--10-07-26,bg_ours_interactive_bikes,1.0,-1,34.24812316894531,0.313427734375,0.4766509115695953,0.0138271399540826
26-04-2024--10-08-17,bg_replaceanything_bikes,1.0,-1,34.217979431152344,0.27216796875,0.2124995619058609,0.3336603581905365
26-04-2024--10-09-07,bg_shopify_bikes,1.0,-1,31.65984535217285,0.24490966796875,0.5338518410921097,-0.0269893305900041
26-04-2024--10-09-59,bg_ours_cars,1.0,-1,33.72711944580078,0.2935302734375,0.3164934009313583,0.2101121604442596
26-04-2024--10-10-53,bg_ours_interactive_cars,1.0,-1,32.70328140258789,0.292626953125,0.3161336824297905,0.220419754832983
26-04-2024--10-11-40,bg_replaceanything_cars,1.0,-1,28.78394889831543,0.2695041232638889,0.2351812571287155,0.3655872941017151
26-04-2024--10-12-33,bg_shopify_car,1.0,-1,28.76656723022461,0.2605224609375,0.450051200389862,0.196078535169363
26-04-2024--10-13-25,bg_ours_products,1.0,-1,32.5225830078125,0.26943359375,0.4416694402694702,0.2193730652332305
26-04-2024--10-14-15,bg_ours_interactive_products,1.0,-1,33.2163200378418,0.2729736328125,0.4513375580310821,0.2337615065276622
26-04-2024--10-15-09,bg_replaceanything_products,1.0,-1,30.443866729736328,0.2353759765625,0.2514149852097034,0.4045096088200807
26-04-2024--10-16-03,bg_shopify_products,1.0,-1,28.952844619750977,0.22777099609375,0.3920884326100349,0.3100222161971032
26-04-2024--10-17-30,bg_ours_overall,2.0792627334594727,-1,33.43461608886719,0.2869954427083333,0.4121905525525411,0.1543245604853534
26-04-2024--10-18-55,bg_ours_interactive_overall,2.29059100151062,-1,33.38924026489258,0.2930094401041667,0.414707384010156,0.1560028004382426
26-04-2024--10-20-18,bg_replaceanything_overall,2.3056490421295166,-1,31.23013687133789,0.2586543642241379,0.2329578201832442,0.3679994936904003
26-04-2024--10-21-49,bg_shopify_overall,2.2528281211853027,-1,29.793087005615234,0.2444010416666666,0.4586638246973356,0.1597038069254873
26-04-2024--11-00-35,comp_ours_bikes,1.0,-1,35.90705871582031,0.27554931640625,0.718829795718193,-0.1223404385149478
26-04-2024--10-22-57,comp_tficon_bikes,1.0,-1,34.13198471069336,0.258203125,0.6789317309856415,-0.0187724330462515
26-04-2024--11-01-19,comp_anydoor_bikes,1.0,-1,30.46617126464844,0.22225341796875,0.6978651463985444,-0.0195684476289898
26-04-2024--11-02-02,comp_ours_cars,1.0,-1,35.4351806640625,0.3043212890625,0.6281277239322662,0.0020556986099109
26-04-2024--11-02-45,comp_tficon_cars,1.0,-1,33.826717376708984,0.283544921875,0.6158746272325516,0.0178684852784499
26-04-2024--11-03-27,comp_anydoor_cars,1.0,-1,27.466869354248047,0.22130126953125,0.6262738823890686,0.0065149358939379
26-04-2024--11-04-09,comp_ours_products,1.0,-1,33.76719665527344,0.26046142578125,0.6386351644992828,0.0116582857444882
26-04-2024--11-04-52,comp_tficon_products,1.0,-1,31.9077262878418,0.23408203125,0.6442668288946152,0.0011028280016034
26-04-2024--11-05-37,comp_anydoor_products,1.0,-1,28.65378189086914,0.20865478515625,0.5621811360120773,0.0128898482769727
26-04-2024--11-06-54,comp_ours_overall,2.3341927528381348,-1,35.03648376464844,0.2801106770833333,0.6618642280499141,-0.0362088180535162
26-04-2024--11-08-14,comp_tficon_overall,2.122575283050537,-1,33.28881072998047,0.2586100260416666,0.6463577290376027,6.629341126730045e-05
26-04-2024--11-09-35,comp_anydoor_overall,2.288034677505493,-1,28.862274169921875,0.2174031575520833,0.6287733882665634,-5.455448602636655e-05
06-06-2024--15-09-08,ours_bench,9.0465087890625,-1,32.09796524047852,0.2532912628560126,0.608328235048785,0.0277548909049718
06-06-2024--15-28-22,tficon_bench,9.315454483032228,-1,31.8671989440918,0.2536121481078586,0.6243938479242446,0.0290058528241123
06-06-2024--15-36-00,anydoor_bench,7.868454933166504,-1,30.520416259765625,0.2071309150019778,0.6343552037633421,0.0182200186537875
06-06-2024--16-22-53,ours_bench_wo_replace,7.512399196624756,-1,31.80102157592773,0.2497892752706005,0.6234856484322574,0.0102925533930788
06-06-2024--16-29-41,tficon_bench_wo_replace,7.545079231262207,-1,31.04265213012696,0.2448205361819134,0.5886231244609342,0.0166881909540609
06-06-2024--16-39-49,anydoor_bench_wo_replace,6.783274173736572,-1,29.88872337341309,0.1942414864481494,0.6046366661620539,0.0029389703320794
12-06-2024--10-06-21,bg_ours_bikes,1.2838611602783203,-1,33.80983352661133,0.29625244140625,0.4739637047052383,0.030827179220796
12-06-2024--10-07-40,bg_ours_interactive_bikes,1.3007909059524536,-1,33.90672302246094,0.31185302734375,0.4601176977157593,0.0319542155484668
12-06-2024--10-08-45,bg_replaceanything_bikes,1.2913345098495483,-1,33.275146484375,0.277423095703125,0.2128922291100025,0.3143254660069942
12-06-2024--10-09-49,bg_shopify_bikes,1.2751001119613647,-1,31.44923973083496,0.244451904296875,0.5273925304412842,-0.0405619673227192
12-06-2024--10-10-56,bg_ours_cars,1.524230718612671,-1,33.837154388427734,0.30098876953125,0.3051616325974464,0.20272109817015
12-06-2024--10-12-02,bg_ours_interactive_cars,1.468222975730896,-1,33.278865814208984,0.30013427734375,0.2862109579145908,0.2192572694271803
12-06-2024--10-13-09,bg_replaceanything_cars,1.5952718257904053,-1,28.72197532653809,0.2845323350694444,0.2800013000766436,0.3538424014631245
